timestamp;x;y;z
1432030085614372;-1.5625;-2.875;2.5
1432030085630355;0.75;-2.5625;2.1875
1432030085653350;2.125;-2.1875;2.0625
1432030085674415;0.9375;-2.9375;0.9375
1432030085698381;-2.3125;-2.875;0.125
1432030085713389;-4.5;-2.5625;-0.9375
1432030085734562;-4.375;-2.1875;-1.875
1432030085750545;-5.375;-2.4375;-2.3125
1432030085773610;-4.9375;-2;-2.0625
1432030085794645;-4.125;-1.75;-2.4375
1432030085810605;-3;-1.4375;-2.375
1432030085833629;-1.5625;-1.125;-1.5
1432030085854646;-1.6875;-1.4375;-1.125
1432030085872648;-1.3125;-1.6875;-0.875
1432030085893663;-2.6875;-1.4375;-0.375
1432030085914771;-2.625;-1.25;0.0625
1432030085930808;-2;-1.3125;0.5
1432030085952831;-2.1875;-1.375;0
1432030085973810;-1.8125;-1.1875;0.3125
1432030085990825;-2.9375;-0.875;0.0625
1432030086012836;-2.1875;-0.6875;-0.5625
1432030086033909;-1.75;-0.375;-0.3125
1432030086050863;-0.5;-0.3125;-0.25
1432030086072883;1.0625;-0.75;-0.375
1432030086093951;-0.125;-0.5625;0.0625
1432030086111014;-0.8125;-0.4375;0.3125
1432030086133066;-1.75;-0.4375;0.1875
1432030086154209;-1.125;-0.6875;0.125
1432030086170221;-0.6875;-0.6875;-0.0625
1432030086193209;-0.625;-0.8125;0
1432030086214253;-1.6875;-0.375;-0.625
1432030086230206;-3;-0.3125;-1.4375
1432030086253254;-2.875;-0.0625;-2.125
1432030086274295;-1.8125;-0.1875;-2.125
1432030086290293;-0.1875;-0.0625;-1.75
1432030086312415;1.375;0.1875;-1
1432030086335404;1.875;-0.4375;-0.6875
1432030086350413;0.75;-1.0625;-1
1432030086372523;-1;-1.4375;-1.125
1432030086394600;-3.3125;-1.5625;-0.875
1432030086411584;-3.4375;-1.75;-1.125
1432030086432651;-1.6875;-2.3125;-0.6875
1432030086454665;-0.8125;-1.875;-0.25
1432030086471649;0.75;-1.375;0
1432030086492642;0.75;-1.4375;-0.3125
1432030086514707;-1.5;-1.3125;-0.5
1432030086531691;-2.1875;-2.0625;-0.25
1432030086552734;-1.6875;-2.4375;-0.4375
1432030086574754;-0.1875;-2.3125;-0.875
1432030086591735;0.8125;-2.0625;-1.1875
1432030086612853;0.375;-2.5;-1.125
1432030086634868;-0.5625;-2.9375;-0.6875
1432030086651825;0.0625;-1.3125;-0.125
1432030086672869;0.75;-1.0625;-0.5
1432030086694914;0.5;-1.9375;-0.0625
1432030086710926;-0.5;-2.0625;0.125
1432030086731910;-1.125;-2.5625;0.125
1432030086754954;-1.8125;-2.4375;-0.25
1432030086770966;-1.4375;-2.1875;-0.125
1432030086792032;0.25;-2.25;0.0625
1432030086815102;0.8125;-2.25;0.125
1432030086831086;1.4375;-1.9375;0.0625
1432030086852131;2;-1.6875;0.125
1432030086875145;0.625;-0.9375;0.125
1432030086891129;0.75;-1.3125;0.125
1432030086912169;0.3125;-1.1875;0.0625
1432030086935187;-0.1875;-1.1875;0.125
1432030086951171;0.375;-1;0.1875
1432030086972213;0.3125;-1.0625;0.25
1432030086997202;0.5;-1.0625;0.125
1432030087011184;0.3125;-1;-0.1875
1432030087032254;0.25;-0.9375;0.125
1432030087055272;-0.3125;-0.8125;0.5
1432030087071231;0.625;-0.9375;0.5625
1432030087092302;0.6875;-1.0625;0.5
1432030087115281;0.5625;-1.0625;0.5
1432030087131298;0.375;-0.75;0.625
1432030087152343;0.875;-1;0.8125
1432030087175438;1.6875;-1.3125;1.5
1432030087191448;2.75;-1.125;2.25
1432030087212496;4.3125;-1.625;2.9375
1432030087234508;4;-2.5;3.5
1432030087251491;2.875;-3.25;4.5625
1432030087273510;2.1875;-3.8125;6.4375
1432030087294502;4.0625;-4.75;8.75
1432030087310521;6.4375;-5.8125;12.8125
1432030087332578;11.3125;-7.375;18.125
1432030087354592;13.375;-10.3125;24.5625
1432030087370575;16;-13.125;33.25
1432030087393676;20.3125;-17.125;40.375
1432030087414740;34.625;-22.125;45.6875
1432030087430722;55.875;-25.875;50.875
1432030087453711;71.75;-30.25;57.25
1432030087474784;83.8125;-35.6875;63.0625
1432030087490766;92.5;-44.875;66.5625
1432030087513765;96.5;-52.9375;68.3125
1432030087534825;95.375;-56.875;62.625
1432030087550808;94.125;-60.6875;49.375
1432030087573801;81;-53.5;30.125
1432030087594814;61.4375;-44.6875;11.875
1432030087610833;47.1875;-40.8125;0.75
1432030087633867;48.5;-39;-4.6875
1432030087654914;69.625;-36.875;-7.5625
1432030087670893;93.375;-35.375;-8.1875
1432030087693908;97.25;-36.375;-14.125
1432030087714951;88.5;-39.0625;-23.125
1432030087730907;90.8125;-39.8125;-28.5
1432030087753951;99.375;-41.3125;-28.4375
1432030087774994;104.438;-47.125;-24.75
1432030087790978;103.063;-53.25;-16.375
1432030087813994;95.9375;-65.5625;-8.75
1432030087835038;100.875;-75.9375;-0.375
1432030087851020;111.375;-88;9.1875
1432030087874035;93.0625;-91.3125;13.75
1432030087895082;95.9375;-93.875;21
1432030087911062;93.4375;-89.125;21.75
1432030087934079;78.0625;-76.8125;21.3125
1432030087955121;41.1875;-64;15.4375
1432030087971106;14.6875;-47.625;7.0625
1432030087994093;6.125;-36;2.5
1432030088015164;-3.625;-31.0625;-1.1875
1432030088031148;-20.3125;-23.625;-4
1432030088054164;-31.0625;-16.75;-5.75
